CLONE	FIELD.HT.Y0	FIELD.HT.Y1.1	FIELD.HT.Y1.2	FIELD.HT.Y2	FIELD.HCL.pct.Y2	FIELD.CLS.pct.Y2	FIELD.LIG.pct.Y2	FIELD.ASH.pct.Y2	FIELD.SiDIA.mm.Y1	FIELD.SiDIA.mm.Y2	FIELD.SiDW.g.Y1	FIELD.SiDW.g.Y2	FIELD.SiDEN.Y1	FIELD.SiDEN.Y2	FIELD.SiSpSA.Y1	FIELD.SiSpSA.Y2	FIELD.CDIA.cm.Y0	FIELD.CDIA.cm.Y1	FIELD.CDIA.cm.Y2	FIELD.FORM.tan.Y0	FIELD.FORM.tan.Y1	FIELD.FORM.tan.Y2	FIELD.StemNo.Y1	FIELD.StemNo.Y2	FIELD.MeanDIA.Y1	FIELD.MeanDIA.Y2	FIELD.SumDIA.Y1	FIELD.SumDIA.Y2	FIELD.MeanSA.Y1	FIELD.MeanSA.Y2	FIELD.SumSA.Y1	FIELD.SumSA.Y2	FIELD.MeanVOL.Y1	FIELD.MeanVOL.Y2	FIELD.SumVOL.Y1	FIELD.SumVOL.Y2	FIELD.SumVOLxDEN.Y1	FIELD.SumVOLxDEN.Y2	FIELD.LFDW.Y1	FIELD.LFA.Y1	FIELD.LFL.Y1	FIELD.LFW.Y1	FIELD.LFP.Y1	FIELD.LFR.Y1	FIELD.LFF.Y1	FIELD.SLA.Y1	FIELD.LFDW.Y2	FIELD.LFA.Y2	FIELD.LFL.Y2	FIELD.LFW.Y2	FIELD.LFP.Y2	FIELD.LFR.Y2	FIELD.LFF.Y2	FIELD.SLA.Y2	FIELD.SPAD.Y2	GH.AGB	GH.ASN.28	GH.ASN.63	GH.DIA	GH.HT.21	GH.HT.28	GH.HT.35	GH.HT.42	GH.HT.49	GH.HT.56	GH.HT.63	GH.HT.70	GH.LDW	GH.LFA	GH.LFDW	GH.LFF	GH.LFL	GH.LFP	GH.LFR	GH.LFW	GH.MDIA	GH.MSA	GH.MSL.21	GH.MSL.28	GH.MSL.35	GH.MSL.42	GH.MSL.49	GH.MSL.56	GH.MSL.63	GH.MSL.70	GH.MSL.RGR	GH.PHE.07	GH.PHE.09	GH.PHE.11	GH.PHE.13	GH.PHE.15	GH.PHE.RGR	GH.PSN.21	GH.PSN.28	GH.PSN.35	GH.PSN.42	GH.PSN.49	GH.PSN.56	GH.PSN.63	GH.PSN.70	GH.PSN.RGR	GH.RDW	GH.REC	GH.SA	GH.SDW	GH.SLA	GH.SPAD.1	GH.SPAD.2	GH.SPD.14	GH.SPD.42	GH.SPD.70	GH.SpVOL	GH.TOT	GH.TSL.21	GH.TSL.28	GH.TSL.35	GH.TSL.42	GH.TSL.49	GH.TSL.56	GH.TSL.63	GH.TSL.70	GH.TSL.RGR	GH.VOL
12X-415-018	-7.378704651	2.541165588	4.253462154	-3.183557756	1.904499034	1.507159005	-1.596351197	3.13253012	3.528030225	3.993653165	6.10435496	-2.88781097	4.927279065	-1.391646761	3.528070871	3.993661272	-55.16220441	-11.60305468	-23.48854408	37.47123372	9.419134997	18.46436992	-10.84608228	-33.33783623	-13.05362011	-11.12246308	-20.93850524	-30.86804979	-22.65436842	-17.81617196	-28.85869226	-35.08413893	-19.94359887	-19.63824764	-31.61479158	-38.47956006	-28.28464684	-40.37525455	-32.21942309	-30.49653614	-17.77110107	-11.58403251	-24.57538044	-6.478519209	7.847017208	-1.230275626	-25.12323021	-34.60253076	-0.711433353	-27.81954923	-2.476661575	37.9315265	-29.89701138	-5.064562956	5.819179196	-4.892693657	0	-19.32773109	-7.005171603	-9.140767824	-2.375296912	-14.12639405	-8.266562439	-1.555104801	4.831715879	12.08133971	14.12713683	-12.29705028	-3.77406932	-11.10158594	-19.76225854	0.854700855	6.960622763	-0.718800347	3.344867359	2.059708832	3.485561633	2.912957784	-3.875791634	-21.17308628	-16.60534571	-11.45947653	-6.0376761	1.424648818	7.667847974	-2.832327084	40	22.22222222	11.11111111	12.5	0	12.53918495	-20	5.882352941	-4.761904762	-9.090909091	-9.090909091	-9.090909091	-9.090909091	-16.66666667	-8.023483366	-14.40531475	-10.88786763	2.435566358	0.352944164	5.517368193	11.46522564	5.903420232	2.765843179	5.85522305	8.651781881	13.12248972	-5.966495732	-23.68728121	-4.789135096	-20.13692514	-19.41600641	-13.98419998	-8.077501548	-2.043450204	-2.290857642	-7.747880855	16.54743331
12X-415-020	7.760856468	8.470827794	5.144284833	4.031664481	0.855644494	-1.557397639	0.646142151	9.397590361	7.289827085	8.43669118	15.47192375	0.122581588	2.219902347	-7.081974094	7.289826627	8.436698278	-21.4286578	-22.77554975	-10.71967399	9.407118955	19.06282194	7.708168937	-1.041033321	1.405506609	27.02933409	19.99046309	26.7583678	17.77058162	55.66695125	40.54143126	58.89920685	39.33891886	65.95843209	51.83713576	70.01285281	50.71499899	68.81062977	38.9348301	32.83094697	23.65411202	19.7970367	3.408014118	15.37537883	16.10013007	-18.09466961	-12.4607277	36.39361862	47.39564479	20.88080141	23.76605768	24.95376642	-0.426466913	-8.17866097	11.5909376	-3.140545913	2.693062244	45.45454545	-14.28571429	-47.15561824	19.7440585	44.65558195	36.67905824	34.61012312	30.62880325	24.38571134	18.88243336	15.53319026	-6.777534855	12.65725289	26.6180883	-4.383358098	13.19517621	9.165293483	8.148469451	6.574394464	45.45454545	97.72293601	42.21094377	75.92680058	63.10034383	59.20797638	48.22391841	38.31450459	31.49261067	31.20154632	40.1504078	-40	-22.22222222	-18.51851852	-6.25	0	-12.85266458	-46.66666667	-52.94117647	-61.9047619	-63.63636364	-63.63636364	-63.63636364	-63.63636364	-66.66666667	-60.86105675	-20.67499509	-15.62805873	-21.29728087	9.402534088	-13.84658309	3.914143498	17.32191696	-4.444146079	17.12036473	2.995314279	9.350865823	0.055190883	-23.5705951	-12.93781272	-34.33546659	-38.68067302	-43.04916873	-46.70441476	-50.11830501	-53.0027996	-46.09482578	-8.31583376
12X-415-023	13.91111689	3.822165414	12.71974964	7.503123375	1.738890422	2.084903291	-2.926643862	2.65060241	3.417484721	-2.77441406	5.944285264	-12.35213707	2.121515765	0.56431398	3.417499301	-2.774391377	-19.63360933	-7.173216385	-22.76066196	7.644642893	7.031648754	18.10455074	-17.59568411	-9.879564008	-1.813282619	-2.108306412	-17.52162022	-14.73922853	-2.779521868	-4.772546204	-16.32349741	-13.71937105	8.453033523	2.203370255	-10.52458874	-6.495453138	-9.089181797	-5.256134467	-13.11295548	0.691307919	-2.091295068	-1.866539536	-7.08341317	-2.44716174	5.435012473	10.30578376	-1.259463889	-11.87175662	-8.430850655	1.608896552	-8.470890558	-8.505419275	5.209827926	-3.932828157	-11.2046238	6.798050056	-18.18181818	-5.882352941	-21.10954396	6.581352834	23.15914489	15.86121437	16.55266758	17.37660581	14.97005988	16.16541353	16.05120995	-2.447940934	-8.818998716	-9.644234891	-13.2243685	-4.015923194	0.357974885	-2.429049449	0.230680507	12.41234552	19.50133571	15.72279852	40.82810392	23.8409229	26.28618919	24.27691125	19.85420218	20.54277095	15.04646427	19.83052643	40	22.22222222	3.703703704	6.25	0	8.777429467	-6.666666667	-17.64705882	-23.80952381	-27.27272727	-27.27272727	-27.27272727	-27.27272727	-33.33333333	-22.11350294	17.53641741	13.25568865	-10.94232619	13.34839906	0.381332238	7.308252894	5.830260186	5.102040816	5.685583269	4.507439282	9.537165684	8.010272413	6.184364061	20.4431737	-5.730019348	-6.240541262	-7.25150336	-9.882332124	-10.023661	-14.60910924	-9.991281699	5.308299932
12X-415-031	-14.23183102	0.627300828	-1.786998594	4.42554364	-0.4692244	-4.923386084	3.762827822	10.36144578	6.741823921	6.454309347	7.135879624	-2.195780073	-3.43740176	-6.269332902	6.741843411	6.45430613	138.8468786	6.246295524	-7.331309048	-52.08159606	-3.915266653	4.926823474	-29.55340153	-28.50297522	14.11468473	36.39827388	-17.88996196	-7.510215983	33.3366891	99.12298708	-1.801718782	33.33045272	32.13942447	111.5174724	1.051641949	39.46580363	-1.48916243	30.29192309	47.93487295	46.90854872	16.54839188	23.30721164	1.949073569	-5.448632009	15.63726922	2.326041005	56.23059535	43.8282916	17.88464371	27.30716053	19.00401156	-7.299318936	2.012268829	-1.484464392	-2.240068988	-27.03168658	-81.81818182	-57.98319328	-5.876821815	-25.77696527	-12.82660333	-10.96654275	-9.673636897	-5.070993915	-6.380342763	-6.459330144	-6.578849996	-35.55786531	-6.123234917	-6.129447064	70.05943536	5.467743824	-19.85340076	14.36361383	-5.997693195	-4.06553219	-12.97544842	-19.77565844	-8.834847488	-11.11179131	-8.303639012	-5.022630386	-7.518633196	-5.06146566	-1.750110301	-6.491543975	0	0	-25.92592593	-12.5	-5	-11.91222571	-6.666666667	17.64705882	4.761904762	0	0	0	0	-8.333333333	2.152641879	-24.7077731	-18.67629923	-7.964960251	-20.99129066	-3.210928817	0.144652531	-9.010595446	-0.792158969	-7.673549447	10.30391846	-6.216172865	-26.76937146	-21.47024504	7.719799857	-8.468522102	-8.608564052	-5.011201509	-6.387684685	-4.889940489	-7.221770673	-6.398037975	-13.49446571
12X-415-038	-8.346015945	-8.980180767	1.567139052	-1.99478229	1.242064587	3.114795278	-3.116685671	-2.65060241	21.53886358	17.38760965	34.4291675	14.33517566	-5.263328667	-6.457233762	21.53889532	17.38761103	51.07189866	1.514891927	-8.902455704	-24.45148443	-1.408560877	4.629849723	-0.236624406	-11.07709078	-2.963695081	-8.479034222	-2.34249449	-19.44774223	-0.268085265	-11.52003207	2.61850974	-19.33145469	2.842918775	-9.377540677	1.657246422	-17.5024246	-2.643519173	-22.98181638	28.22026632	33.82127826	13.2141465	18.58459221	3.015141425	-3.636858526	5.94230682	-2.26568061	25.59322468	5.614173988	22.32556493	-5.521539069	20.41590605	42.46027575	-24.31486102	-7.343024946	-2.254913116	-3.93258427	-27.27272727	-42.85714286	-6.535025858	3.290676417	12.2327791	4.460966543	6.624975572	6.964164976	6.132562461	5.604921394	5.32080219	-7.859933336	12.06675225	12.47321046	-20.43090639	12.82051282	16.47252685	7.344982856	6.920415225	4.820446457	7.556290548	1.899721093	11.38662384	8.142093374	11.73990557	10.52860577	7.049851725	6.757809172	3.138150724	6.477421177	60	33.33333333	11.11111111	18.75	0	17.55485893	6.666666667	5.882352941	-14.28571429	-18.18181818	-18.18181818	-18.18181818	-18.18181818	-16.66666667	-11.93737769	-0.825056296	-0.624525752	3.777406451	-1.15024249	-3.312555541	-2.585595248	1.823046265	-0.79887218	1.842181992	9.958556574	7.606323141	-3.581817122	8.984830805	23.15939957	-2.396189909	-3.605448233	-4.952246197	-7.750154826	-9.650820965	-9.310936512	-6.917333666	10.38007166
12X-415-054	-17.43956634	7.916649241	4.475368106	-0.539719432	2.401324869	-1.607636272	-1.482326112	3.614457831	25.34150708	-5.714952042	42.22778518	-21.52284339	6.487727789	-4.441378385	25.34154621	-5.714951919	-30.1534899	-5.680519938	-11.17603996	19.79718727	5.552478826	9.145096348	-18.36306598	6.186331151	-3.384520882	-2.328092954	-24.44213085	3.105894812	-1.507887378	1.254368262	-24.59734438	8.665909035	1.589945687	1.79351055	-25.24462855	6.936744764	-10.70221548	2.780876669	67.02135048	50.24290174	27.94254794	16.04733837	11.47659898	9.428346736	3.06460665	-12.95844196	63.39163166	42.67946224	25.16141084	19.89080515	27.25232783	6.518837345	-11.16279496	-1.982963068	21.81356223	16.90743713	127.2727273	44.53781513	-8.415608839	2.559414991	23.27790974	21.56133829	20.18760993	14.99661934	9.704728474	8.937115516	8.62132761	10.39747679	2.6957638	9.387055294	-13.37295691	4.484252429	9.597136201	4.736233321	2.076124567	9.241850534	16.94440911	11.34426469	41.57439176	36.85346166	34.34521929	24.75768458	10.13804908	10.05757248	12.40204215	17.794019	0	0	3.703703704	12.5	0	4.702194357	6.666666667	-5.882352941	-14.28571429	-18.18181818	-18.18181818	-9.090909091	-9.090909091	-16.66666667	-12.32876712	5.536660344	4.185541832	0.59243506	21.51943732	-8.763158689	6.736242884	10.90637641	6.646079484	12.32273968	2.612615976	14.32308883	15.62387189	15.16919487	36.81200858	20.25599047	13.11314876	6.520457493	1.30053968	-0.516240052	-4.163280051	2.496258735	10.28720503
12X-415-073	12.5402646	-1.163551738	5.529237457	9.859707609	-0.579630141	-0.226073851	-2.128468263	10.36144578	-10.91447352	2.080202687	-24.75230156	-19.03672345	-4.739521522	-6.477370056	-10.91443364	2.080205612	60.31322995	14.83648399	-13.69702232	-15.37281844	-11.44794722	10.54891375	-5.053139183	-3.13024839	9.405757156	9.073236459	4.025222244	2.085845181	24.24530922	26.92566025	19.95980017	22.40074992	28.04239939	39.41941154	29.77874628	33.65847288	21.62093093	22.93132497	-13.47967885	1.577755856	18.76768295	-12.34368768	10.95691478	36.4809914	-26.0592309	15.07948992	1.941022042	-10.75871014	-0.545659163	-9.303412524	2.096198061	12.53005315	-6.953215032	-4.652580084	2.321932064	13.49206349	21.21212121	158.8235294	-6.34696756	20.10968921	35.39192399	22.55266419	17.0216924	12.40027045	10.07639893	9.791524265	6.712055058	12.18952726	16.03337612	19.75996571	22.21396731	32.79475471	10.78470368	46.2965258	-6.805074971	15.69071498	29.42373744	27.50133852	45.25758832	31.86285731	26.49036741	18.31061313	13.62040604	13.02183968	12.11210791	17.01302828	20	11.11111111	-11.11111111	6.25	0	1.880877743	6.666666667	5.882352941	-4.761904762	-9.090909091	-9.090909091	-9.090909091	-9.090909091	-16.66666667	-5.675146771	-10.84626669	-8.198555115	1.903893868	14.41484905	-3.087839829	2.032285565	10.91339467	1.84613319	10.66875182	5.254167678	15.4915	10.74460755	26.60443407	43.81701215	15.10641465	7.540283094	2.735526471	0.645846236	-0.645300065	-7.583009723	1.682550633	7.808974623
12X-415-074	-21.34335969	-30.07153481	-16.05874986	-13.84529034	-0.855644494	-1.230846521	3.420752566	-12.77108434	-18.27635007	-18.47066997	-30.28082081	-39.07411715	9.189014889	2.996012266	-18.27633222	-18.47065053	-46.56244135	-17.5616428	-29.09217609	32.65961847	12.78337873	24.94569387	0.272219475	-19.40104293	-23.08574593	-19.97501962	-21.84312512	-38.28777968	-41.79173427	-36.68472108	-38.77377847	-50.76892932	-52.50668891	-45.60992387	-48.10833055	-59.03417053	-45.04006362	-57.36100997	-53.06912634	-35.51214525	-7.339733607	-25.0414149	-15.10305044	28.24450032	-18.88696895	30.83497421	4.752542922	2.603825478	-2.324568492	10.90028702	-1.680560477	-9.027393787	9.847388796	4.499631994	9.101139354	-18.90494025	9.090909091	14.28571429	-33.70944993	-10.78610603	9.263657957	-5.018587361	-6.35137776	-7.829614604	-8.713607268	-7.655502392	-4.921187005	-11.16447439	-1.335044929	6.900985855	4.606240713	5.069663974	-1.698960168	6.888503325	0.461361015	-6.136059528	-5.902556927	-8.485629313	20.38997396	1.179882378	0.568220849	-4.068743491	-6.550459216	-3.984122149	-19.58036347	-5.800939166	20	11.11111111	-18.51851852	-6.25	-20	-7.836990596	-20	-29.41176471	-42.85714286	-45.45454545	-45.45454545	-45.45454545	-45.45454545	-33.33333333	-40.50880626	-20.09568037	-15.18993242	-27.55076206	-24.38869563	-6.295056254	19.78412122	12.21517561	15.99087003	12.04707504	-0.122276775	-35.72611428	-19.03932528	-22.87047841	-5.07505361	-35.88331597	-40.78162557	-43.94528947	-45.2269309	-45.0204345	-43.2312833	-41.8149819	-28.52786408
12X-415-082	-22.85775711	-19.05030343	-25.79165176	-14.57265579	1.51807894	2.712886209	-0.532117066	-14.69879518	1.774486936	3.054924734	2.549441722	5.140812839	2.954790218	4.49403479	1.774530638	3.054913476	-46.82987865	-28.42324173	-37.78919083	34.89509676	29.13513349	38.17166645	-13.79809823	-30.71031768	-26.60558936	-28.52800299	-38.0409202	-50.90492805	-45.06260209	-49.4185522	-53.30833078	-63.92510976	-60.04520103	-61.84962055	-64.24099696	-72.77889267	-62.33575872	-61.5509701	-59.99101152	-45.21522064	-24.1856492	-25.49282616	-30.44324487	2.772001183	6.963920806	30.82120382	-30.97882656	-25.65289336	-3.731996669	-24.37028081	-3.926268324	32.15797434	-21.09217024	2.14149519	5.131625114	10.51364366	-33.33333333	-51.2605042	6.064880113	-4.753199269	8.432304038	11.77199504	14.95016611	18.05273834	13.17365269	12.74777854	11.95145416	-6.705852837	-21.52759949	-27.64680669	56.98365527	3.126097647	-18.39309052	27.63456851	-17.53171857	-0.03235199	-1.055845312	3.853764595	-14.25131302	7.390412243	12.47183697	14.24187578	9.893142402	11.62161065	6.84006471	4.884369594	60	33.33333333	11.11111111	6.25	0	13.79310345	6.666666667	29.41176471	4.761904762	0	0	0	0	0	8.806262231	11.38960784	8.608715917	12.66393235	22.71284564	5.358315409	-12.54076946	-1.334107469	-8.391514501	-1.34916638	-7.589560737	29.43635351	10.6124975	3.733955659	15.51107934	19.18440244	19.7364907	21.3418229	16.80084933	16.74912167	13.62172251	20.97797067	27.44345086
12X-415-257	-19.82561163	-13.38886516	-19.21044279	-11.64140577	-2.180513387	-0.301431801	2.508551881	9.879518072	-9.505847936	15.98291299	-23.79169214	18.53902669	2.408197924	3.523713453	-9.505877057	15.982912	-49.05346141	-26.53480318	-27.45287759	31.49396098	23.3568962	22.67479983	3.032758031	-12.13753789	-22.17883543	-23.50397961	-19.71663591	-34.86683043	-41.10298088	-40.12619979	-38.81889115	-49.07673352	-54.87738754	-47.61478655	-47.61276454	-57.02513362	-45.80633946	-54.00091901	-42.84030928	-33.61328001	-9.365173563	17.56246124	-13.99692662	-0.375805521	-5.816714942	17.4730637	-0.638295104	-14.81954856	-6.791752638	-7.993913765	-8.079358115	2.130370104	3.78383402	-8.441229782	8.896981237	-18.934665	-93.93939394	-71.42857143	-23.36624354	-29.06764168	-2.137767221	2.416356877	6.35137776	9.019607843	10.86103655	10.97060834	11.12262266	-28.54736389	-1.193838254	6.386626661	10.47548291	8.230886313	-0.619353372	15.58226959	-4.728950404	-6.740032352	-12.75919094	-15.75901346	8.473749786	3.545798517	9.975544656	2.222333791	4.33668322	-7.370511437	-0.988159758	-0.568442608	-60	-33.33333333	-11.11111111	-18.75	0	-17.55485893	-46.66666667	-29.41176471	-33.33333333	-36.36363636	-27.27272727	-27.27272727	-18.18181818	-25	-29.15851272	-44.94641339	-33.97343277	-21.11499316	-12.12452073	-8.581541524	3.878667877	5.304954041	-0.402792696	5.325098736	12.85212911	-12.21992704	-21.87101577	-54.72578763	-23.7312366	-30.79327281	-28.90590225	-26.77750265	-24.13518535	-21.16584212	-20.54547097	-24.13937331	-12.72627153
